"Timestamp","... regarding your studies:","... regarding your general mood:","... regarding your expectations (worse/better than expected?):","If you want to name reasons for the above, please drop a line.","Online classes work well for lectures (lecturer presents information)","Online classes work well for tutorials (teacher presents and discusses exercises and solutions) ","Online classes work well for ""Testate"" (students present homework to e.g. research assistant)","Online classes work well for small seminars (<= 15 students)","Online classes work well for large seminars (>15 students)","Online classes work well for giving or listening to presentations","Online classes work well for reading clubs","Online classes work well for study projects","Solving homework exercises online as a group works fine","Working together on other projects (presentation, paper, etc.) online works fine.","Working online as a student assistant (HiWi) works fine.","Participating in extracurricular activities (e.g. student body, university politics) online works fine.","Managing general administration tasks (e.g. examination office) remotely works fine. ","Do you want to add something more specific about the parts of online university that work well or not so well? ","Do you have suggestions on how to improve the shortcomings of specific types of sessions?","How problematic was the summer term 2020 for you in general?","Which of the following issues or problems affected you as a result of the Covid-19 crisis and/or the online semester? ","Do you suffer from any psychological conditions?","If you suffer from any psychological conditions, did your situation worsen since March 2020?","If you like, please tell us about any particularly striking problems that you encountered personally. If possible, please mention ways in which similar problems could be preventable or solvable for others in the future.","To cope with any arising issues, which of the following services have you used?","How many ECTS points are you aiming to get this semester?","How many classes did you drop because of the current situation?","Are you currently following more or less courses than in other semesters?","How much work are the current digital courses compared to usual university courses?","Do you think that you will need more semesters than planned to complete your studies because of Corona?","Are you regularly taking part in lectures or seminars that are broadcasted live?","Have you been able to complete all your courses from the winter term?","If you have no yet completed all of your courses from the winter term, do you already know when and how you will be able to complete these courses?","How often do you arrange meetings with other people for studying?","Do you meet virtually with people for studying?","Would you wish there would be offer more online social events?","Do you feel a lack of structure in your day because of the online semester?","What tech-setup do you use for university? (Select all that apply)","Which of the university's equipment or facilities that fell away during the last semester is most crucial to your studies/you had a hard time compensating for?","How many fellow students are you regularly in contact with via chat/phone/video/screenshare (primarily uni-matters)?","Which of the following messenger/chat services do you need to communicate within the courses?","What is the most useful format for lecture slides?","What 'Format' of recorded lectures do you find the most engaging/easy to follow ?","In your opinion, how much of Stud.IP's potential is used by the average course ?","Which Stud.IP service would you like to see used more often?","Did you know? There is an interactive Google Sheet called the Coxi Grade Calculator the keep track of required courses, grades and your thesis! (Links provided in the mail to this survey.)","Did you know? There is a virtual university campus to join via a Discord (chat service) server, that provides screensharing, voice/videoChat, updates on courses and emotional support in tough times! (Links provided in the mail to this survey.)","Share your Secrets: Times and Dates - Please let us know about all the apps you are using regarding time management. [Comma, separated answers, are, highly apprechiated]","Share your Secrets: Files and Notes - Please let us know about all the apps you are using regarding file organization and note-taking. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: Peers and Partners - Please let us know about all the apps you are using regarding personal connection and team-learning. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: The MVP - Please let us know about the app/service/device that you are using the most and could not study without. [Name the app and explain what makes it your ""Most Valuable Player""]","What program are you enrolled in?","What semester are you in?","In case the next semester will be an online semester like the current, how important would it be for you to know this as soon as possible?","Please share anything that so far you had no chance of mentioning!"
"2020/06/11 1:58:42 PM GMT+2","3","3","5","","7","5","","1","8","2","1","1","","4","4","1","1","","","5","social issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs);Visiting home. ","No","I dont suffer from any psychological condition","","","25 ECTS","1","a bit less","8","No","Yes","Yes","","less often than in previous semesters","No","No","Maybe","Desktop/Laptop Computer","Printers","5","Stud.IP Forum","","","","","No","Yes","","","","","MSc CogSci","3","Very important to know ASAP",""
"2020/06/11 2:00:03 PM GMT+2","3","1","4","I am having a hard time this semester for two major reasons: first, each day it is getting harder to work in the same little space all over again, as in a WG you do not really have any room to move around or find a different scenery even just for a minute. It would be helpful, if the library was open to study in again. The second reason being, that obviously it is expected of you to have a working and fast WiFi connection. However, mine is currently having issues and I am often kicked out of BBB meetings due to this or having to wait ages for say OpenCast to play a video. Again, opening the libraries would be helpful here.","2","7","6","3","3","6","3","3","2","2","8","","3","","","9","physical health issues;mental health issues;financial issues;social issues;term abroad cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","Advice study coordinator;Examination office","30 ECTS","2","about the same","5","Yes, one semester more","Yes","No","No","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","2","Slack;Riot","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","","","","","BSc CogSci","4","Very important to know ASAP",""
"2020/06/11 2:03:48 PM GMT+2","7","7","8","You can take courses that would otherwise take place at the same time, and in general manage your own schedule better.","7","3","","4","","5","","","6","6","","","","Some courses like ""Mathe für Anwender 2"" don't offer tutorial/practice session at all","","2","term abroad cancelled / postponed;internship (or similar) cancelled / postponed","No","I dont suffer from any psychological condition","","None","more than 30 ECTS","None","a bit more","8","No","Yes","Yes","","less often than in previous semesters","Yes","","Maybe","Desktop/Laptop Computer;Pen & Paper","","4","Stud.IP Forum;Discord;Telegram","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","Discord","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/11 2:04:41 PM GMT+2","3","4","6","","5","7","","","","6","","4","4","4","","3","","","","7","physical health issues;mental health issues;social issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","Advice mentoring team","30 ECTS","1","a bit less","6","Yes, one semester more","Yes","No","No","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Tablet (+ Pen)","Printers","1","Slack;Riot;Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","","","BSc CogSci","2","Good to know at some point but not urgent",""
"2020/06/11 2:04:45 PM GMT+2","3","5","6","","6","","","","","","","","","","9","","8","","","6","mental health issues;social issues","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","Advice study coordinator;Examination office","25 ECTS","None","about the same","5","No","No","No","No","less often than in previous semesters","No","","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","","","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","2","","Yes","No","calender on iPhone","MSWord, Pen+Paper, quizzlet","","","BSc CogSci","8+","Very important to know ASAP",""
"2020/06/11 2:05:24 PM GMT+2","6","6","7","","6","8","","","","","","8","3","5","","","","","","7","mental health issues;social issues;issues with technical equipment (computer, internet, ...)","No","I dont suffer from any psychological condition","","Advice mentoring team;Examination office","20 ECTS","2","a bit less","7","Yes, one semester more","Yes","No","No","less often than in previous semesters","Yes","","Yes","Desktop/Laptop Computer","Mensa","6","Slack;Riot;Stud.IP Forum;Discord","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","Yes","","","","","","2","Good to know at some point but not urgent","I am concerned about the 40 points mark to be allowed do continue stuying in the third semester. Due to canceled exams, the workload in the current semester is higher and the exam period is loaded. I hope to get enough points, but aren't sure yet."
"2020/06/11 2:05:47 PM GMT+2","4","3","8","","7","","","","8","4","","","3","3","","","9","","","4","mental health issues;term abroad cancelled / postponed","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","Examination office","30 ECTS","None","a bit less","7","No","Yes","No","No","less often than in previous semesters","Yes","","Maybe","Desktop/Laptop Computer;Tablet (+ Pen);Printer;Pen & Paper","Frosch","6","Blubber;Stud.IP Forum","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/11 2:05:55 PM GMT+2","10","10","10","","10","10","10","10","10","7","","","10","10","","","5","","","1","mental health issues;financial issues","No","I dont suffer from any psychological condition","","Advice mentoring team;Examination office","more than 30 ECTS","2","much more","6","No","Yes","Yes","","more often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer","Printers","5","Telegram","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","7","Wiki (Look up specific descriptions & definitions)","No","Yes","","","","","MSc CogSci","","Good to know at some point but not urgent",""
"2020/06/11 2:07:55 PM GMT+2","7","8","7","More encouragement to -actively- engage with other students by reaching out.","10","6","","8","","","","","","7","8","","",""," ","4","no particular issues","No","No","","None","less than 15 ECTS","1","much less","5","Yes, one semester more","Yes","Yes","","less often than in previous semesters","No","Yes","Maybe","Desktop/Laptop Computer","Mensa","1","Slack;Blubber;Stud.IP Forum","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer.","2","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","Timetable, Simple Calendar","","","","","6","Good to know at some point but not urgent",""
"2020/06/11 2:08:14 PM GMT+2","7","9","8","","","","","","","","","8","","","9","","5","The examination office is particularly slow to respond to emails and other requests like registration of thesis, etc.","","3","issues with access to study material (library, labs);Meetings/appointments with Professors","No","I dont suffer from any psychological condition","","None","more than 30 ECTS","None","","","Yes, one semester more","","Yes","","","Yes","No","Maybe","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","3","","","","","","Yes","Yes","","","","","MSc CogSci","6","Very important to know ASAP",""
